prompt_index,example_id,cosine_alignment,projection_coefficient,delta_toward_sft_alpha1
0,task_test-00000,0.7074854373931885,1.0398952960968018,0.024620164185762405
1,task_test-00001,0.7337587475776672,1.0533559322357178,0.054844602942466736
2,task_test-00002,0.709790050983429,1.0160797834396362,0.024090465158224106
3,task_test-00003,0.7220533490180969,0.9813441038131714,0.009691225364804268
4,task_test-00004,0.746336817741394,0.9903721809387207,0.0209709070622921
5,task_test-00005,0.7245110273361206,1.0612176656723022,0.013610225170850754
6,task_test-00006,0.705779492855072,1.024269461631775,0.046229030936956406
7,task_test-00007,0.7307039499282837,1.0164167881011963,0.04522506147623062
8,task_test-00008,0.718832790851593,1.0438232421875,0.016176488250494003
9,task_test-00009,0.730499267578125,1.0205029249191284,0.05733563005924225
10,task_test-00010,0.7254080772399902,1.044642448425293,0.020279238000512123
11,task_test-00011,0.731600284576416,0.995326578617096,0.07214004918932915
12,task_test-00012,0.7123310565948486,0.9832019805908203,0.0720474049448967
13,task_test-00013,0.6890278458595276,1.0369906425476074,0.0071595534682273865
14,task_test-00014,0.719122052192688,1.0590373277664185,0.026011228561401367
15,task_test-00015,0.722411572933197,1.030687928199768,0.044944584369659424
