prompt_index,mean_projection_energy_fraction,mean_projection_coefficient,delta_toward_rl_beta1
0,0.009337007068097591,0.05230150371789932,0.011973179876804352
1,0.01752346009016037,0.07806745916604996,0.012521523982286453
2,0.008961217477917671,0.041484758257865906,0.0038091307505965233
3,0.010958071798086166,0.054481685161590576,0.005368919111788273
4,0.016171477735042572,0.06086233630776405,0.0031330655328929424
5,0.01628596894443035,0.06872689723968506,0.005678507499396801
6,0.018265999853610992,0.07391025125980377,0.007010655477643013
7,0.016955718398094177,0.0843922346830368,0.013329721987247467
8,0.008013298735022545,0.03632444515824318,0.0027838926762342453
9,0.015280965715646744,0.08436762541532516,0.025047097355127335
10,0.008950711227953434,0.04171042516827583,0.0050036124885082245
11,0.015742577612400055,0.055156756192445755,0.0044403523206710815
12,0.01893000304698944,0.07473104447126389,0.008508460596203804
13,0.014840565621852875,0.07236361503601074,0.008243730291724205
14,0.016506046056747437,0.08019039779901505,0.007880624383687973
15,0.01503682415932417,0.06752584874629974,0.00582271721214056
