method,step,checkpoint,task_accuracy,forward_kl,base_logits_sha256,selected_pair
sft,4,/workspace/sft_rl_intervention/outputs/mvp_16h_qwen05b_gsm8k/sft-seed1-20260827T152137Z-360f21a0a7/checkpoints/checkpoint-4,0.4583333333333333,0.004047572336276062,63411970f55bcddaeb6eaaeb52322820732dd5dc3a976af1e9508e8c4182418a,False
sft,8,/workspace/sft_rl_intervention/outputs/mvp_16h_qwen05b_gsm8k/sft-seed1-20260827T152137Z-360f21a0a7/checkpoints/checkpoint-8,0.3541666666666667,0.013778183929389343,63411970f55bcddaeb6eaaeb52322820732dd5dc3a976af1e9508e8c4182418a,False
sft,12,/workspace/sft_rl_intervention/outputs/mvp_16h_qwen05b_gsm8k/sft-seed1-20260827T152137Z-360f21a0a7/checkpoints/checkpoint-12,0.4375,0.020531015063170344,63411970f55bcddaeb6eaaeb52322820732dd5dc3a976af1e9508e8c4182418a,True
sft,16,/workspace/sft_rl_intervention/outputs/mvp_16h_qwen05b_gsm8k/sft-seed1-20260827T152137Z-360f21a0a7/checkpoints/checkpoint-16,0.4791666666666667,0.022032400651369244,63411970f55bcddaeb6eaaeb52322820732dd5dc3a976af1e9508e8c4182418a,False
grpo,4,/workspace/sft_rl_intervention/outputs/mvp_16h_qwen05b_gsm8k/grpo-seed1-20260827T152202Z-5153bd3355/checkpoints/checkpoint-4,0.375,0.0004442628405740834,63411970f55bcddaeb6eaaeb52322820732dd5dc3a976af1e9508e8c4182418a,False
grpo,8,/workspace/sft_rl_intervention/outputs/mvp_16h_qwen05b_gsm8k/grpo-seed1-20260827T152202Z-5153bd3355/checkpoints/checkpoint-8,0.4166666666666667,0.00044231134870642563,63411970f55bcddaeb6eaaeb52322820732dd5dc3a976af1e9508e8c4182418a,False
grpo,12,/workspace/sft_rl_intervention/outputs/mvp_16h_qwen05b_gsm8k/grpo-seed1-20260827T152202Z-5153bd3355/checkpoints/checkpoint-12,0.3958333333333333,0.0004306604632802191,63411970f55bcddaeb6eaaeb52322820732dd5dc3a976af1e9508e8c4182418a,False
grpo,16,/workspace/sft_rl_intervention/outputs/mvp_16h_qwen05b_gsm8k/grpo-seed1-20260827T152202Z-5153bd3355/checkpoints/checkpoint-16,0.2916666666666667,0.0004261613175913226,63411970f55bcddaeb6eaaeb52322820732dd5dc3a976af1e9508e8c4182418a,False
grpo,20,/workspace/sft_rl_intervention/outputs/mvp_16h_qwen05b_gsm8k/grpo-seed1-20260827T152202Z-5153bd3355/checkpoints/checkpoint-20,0.4375,0.0004185597990726819,63411970f55bcddaeb6eaaeb52322820732dd5dc3a976af1e9508e8c4182418a,True
grpo,24,/workspace/sft_rl_intervention/outputs/mvp_16h_qwen05b_gsm8k/grpo-seed1-20260827T152202Z-5153bd3355/checkpoints/checkpoint-24,0.3958333333333333,0.00041888013038260397,63411970f55bcddaeb6eaaeb52322820732dd5dc3a976af1e9508e8c4182418a,False
grpo,28,/workspace/sft_rl_intervention/outputs/mvp_16h_qwen05b_gsm8k/grpo-seed1-20260827T152202Z-5153bd3355/checkpoints/checkpoint-28,0.3958333333333333,0.00042143973132624524,63411970f55bcddaeb6eaaeb52322820732dd5dc3a976af1e9508e8c4182418a,False
grpo,32,/workspace/sft_rl_intervention/outputs/mvp_16h_qwen05b_gsm8k/grpo-seed1-20260827T152202Z-5153bd3355/checkpoints/checkpoint-32,0.375,0.00041845530540740583,63411970f55bcddaeb6eaaeb52322820732dd5dc3a976af1e9508e8c4182418a,False
grpo,36,/workspace/sft_rl_intervention/outputs/mvp_16h_qwen05b_gsm8k/grpo-seed1-20260827T152202Z-5153bd3355/checkpoints/checkpoint-36,0.375,0.000445448572463647,63411970f55bcddaeb6eaaeb52322820732dd5dc3a976af1e9508e8c4182418a,False
grpo,40,/workspace/sft_rl_intervention/outputs/mvp_16h_qwen05b_gsm8k/grpo-seed1-20260827T152202Z-5153bd3355/checkpoints/checkpoint-40,0.2916666666666667,0.00042570084679027786,63411970f55bcddaeb6eaaeb52322820732dd5dc3a976af1e9508e8c4182418a,False
grpo,44,/workspace/sft_rl_intervention/outputs/mvp_16h_qwen05b_gsm8k/grpo-seed1-20260827T152202Z-5153bd3355/checkpoints/checkpoint-44,0.3125,0.0004330227702666889,63411970f55bcddaeb6eaaeb52322820732dd5dc3a976af1e9508e8c4182418a,False
grpo,48,/workspace/sft_rl_intervention/outputs/mvp_16h_qwen05b_gsm8k/grpo-seed1-20260827T152202Z-5153bd3355/checkpoints/checkpoint-48,0.3541666666666667,0.0004392743849166436,63411970f55bcddaeb6eaaeb52322820732dd5dc3a976af1e9508e8c4182418a,False
grpo,52,/workspace/sft_rl_intervention/outputs/mvp_16h_qwen05b_gsm8k/grpo-seed1-20260827T152202Z-5153bd3355/checkpoints/checkpoint-52,0.3333333333333333,0.0004216868574076216,63411970f55bcddaeb6eaaeb52322820732dd5dc3a976af1e9508e8c4182418a,False
grpo,56,/workspace/sft_rl_intervention/outputs/mvp_16h_qwen05b_gsm8k/grpo-seed1-20260827T152202Z-5153bd3355/checkpoints/checkpoint-56,0.3958333333333333,0.00041861864883685485,63411970f55bcddaeb6eaaeb52322820732dd5dc3a976af1e9508e8c4182418a,False
grpo,60,/workspace/sft_rl_intervention/outputs/mvp_16h_qwen05b_gsm8k/grpo-seed1-20260827T152202Z-5153bd3355/checkpoints/checkpoint-60,0.375,0.0004324355668359203,63411970f55bcddaeb6eaaeb52322820732dd5dc3a976af1e9508e8c4182418a,False
grpo,64,/workspace/sft_rl_intervention/outputs/mvp_16h_qwen05b_gsm8k/grpo-seed1-20260827T152202Z-5153bd3355/checkpoints/checkpoint-64,0.3333333333333333,0.00042274489806004567,63411970f55bcddaeb6eaaeb52322820732dd5dc3a976af1e9508e8c4182418a,False
