prompt_index,token_window,baseline_sft_to_rl_kl,steered_sft_to_rl_kl,delta_toward_sft_alpha1
0,1,0.08205858618021011,0.03675280511379242,0.045305781066417694
0,3,0.08205858618021011,0.05178825557231903,0.030270330607891083
0,5,0.08205858618021011,0.05743842199444771,0.024620164185762405
0,10,0.08205858618021011,0.0679093450307846,0.014149241149425507
1,1,0.1209762841463089,0.03856976702809334,0.08240651711821556
1,3,0.1209762841463089,0.057694822549819946,0.06328146159648895
1,5,0.1209762841463089,0.06613168120384216,0.054844602942466736
1,10,0.1209762841463089,0.08632639050483704,0.03464989364147186
2,1,0.06447015702724457,0.031046172603964806,0.03342398442327976
2,3,0.06447015702724457,0.03729747608304024,0.02717268094420433
2,5,0.06447015702724457,0.04037969186902046,0.024090465158224106
2,10,0.06447015702724457,0.049202270805835724,0.015267886221408844
3,1,0.02699042297899723,0.014435062184929848,0.012555360794067383
3,3,0.02699042297899723,0.01517956331372261,0.01181085966527462
3,5,0.02699042297899723,0.017299197614192963,0.009691225364804268
3,10,0.02699042297899723,0.02085992880165577,0.006130494177341461
4,1,0.042488690465688705,0.020597102120518684,0.02189158834517002
4,3,0.042488690465688705,0.02030634693801403,0.022182343527674675
4,5,0.042488690465688705,0.021517783403396606,0.0209709070622921
4,10,0.042488690465688705,0.027368756011128426,0.01511993445456028
5,1,0.04207553341984749,0.025852376595139503,0.016223156824707985
5,3,0.04207553341984749,0.026233695447444916,0.015841837972402573
5,5,0.04207553341984749,0.028465308248996735,0.013610225170850754
5,10,0.04207553341984749,0.032486483454704285,0.009589049965143204
6,1,0.09740738570690155,0.040924232453107834,0.056483153253793716
6,3,0.09740738570690155,0.04755773767828941,0.04984964802861214
6,5,0.09740738570690155,0.051178354769945145,0.046229030936956406
6,10,0.09740738570690155,0.061583735048770905,0.035823650658130646
7,1,0.11882667988538742,0.04368900507688522,0.0751376748085022
7,3,0.11882667988538742,0.06784544885158539,0.05098123103380203
7,5,0.11882667988538742,0.0736016184091568,0.04522506147623062
7,10,0.11882667988538742,0.09207136183977127,0.02675531804561615
8,1,0.05230512470006943,0.027840575203299522,0.024464549496769905
8,3,0.05230512470006943,0.03324960172176361,0.019055522978305817
8,5,0.05230512470006943,0.036128636449575424,0.016176488250494003
8,10,0.05230512470006943,0.040415432304143906,0.011889692395925522
9,1,0.1566423773765564,0.07330577820539474,0.08333659917116165
9,3,0.1566423773765564,0.08822225779294968,0.06842011958360672
9,5,0.1566423773765564,0.09930674731731415,0.05733563005924225
9,10,0.1566423773765564,0.10848871618509293,0.04815366119146347
10,1,0.048121169209480286,0.020251134410500526,0.02787003479897976
10,3,0.048121169209480286,0.024784056469798088,0.023337112739682198
10,5,0.048121169209480286,0.027841931208968163,0.020279238000512123
10,10,0.048121169209480286,0.03445322439074516,0.013667944818735123
11,1,0.12234853208065033,0.035283252596855164,0.08706527948379517
11,3,0.12234853208065033,0.04347973316907883,0.0788687989115715
11,5,0.12234853208065033,0.05020848289132118,0.07214004918932915
11,10,0.12234853208065033,0.06976516544818878,0.05258336663246155
12,1,0.1661158800125122,0.04466037079691887,0.12145550921559334
12,3,0.1661158800125122,0.08511172235012054,0.08100415766239166
12,5,0.1661158800125122,0.09406847506761551,0.0720474049448967
12,10,0.1661158800125122,0.1228855699300766,0.04323031008243561
13,1,0.027241580188274384,0.022418607026338577,0.004822973161935806
13,3,0.027241580188274384,0.019849566742777824,0.007392013445496559
13,5,0.027241580188274384,0.020082026720046997,0.0071595534682273865
13,10,0.027241580188274384,0.021127965301275253,0.00611361488699913
14,1,0.09689576923847198,0.04534883424639702,0.051546934992074966
14,3,0.09689576923847198,0.062444061040878296,0.03445170819759369
14,5,0.09689576923847198,0.07088454067707062,0.026011228561401367
14,10,0.09689576923847198,0.08114869147539139,0.015747077763080597
15,1,0.1136239767074585,0.04092711582779884,0.07269686087965965
15,3,0.1136239767074585,0.05940425395965576,0.054219722747802734
15,5,0.1136239767074585,0.06867939233779907,0.044944584369659424
15,10,0.1136239767074585,0.08663398027420044,0.026989996433258057
